,ts_code,trade_date,close
669,600609.SH,2019-04-26,4.7
670,600887.SH,2019-04-26,30.0
671,601318.SH,2019-04-26,83.11
672,600036.SH,2019-04-25,35.43
673,600609.SH,2019-04-25,4.8
674,600887.SH,2019-04-25,30.45
675,601318.SH,2019-04-25,83.4
676,600036.SH,2019-04-24,35.8
677,600609.SH,2019-04-24,4.98
678,600887.SH,2019-04-24,30.74
679,601318.SH,2019-04-24,85.03
680,600036.SH,2019-04-23,35.23
681,600609.SH,2019-04-23,4.79
682,600887.SH,2019-04-23,30.48
683,601318.SH,2019-04-23,86.06
684,600036.SH,2019-04-22,34.8
685,600609.SH,2019-04-22,4.98
686,600887.SH,2019-04-22,30.98
687,601318.SH,2019-04-22,84.96
688,600036.SH,2019-04-19,36.0
689,600609.SH,2019-04-19,5.08
690,600887.SH,2019-04-19,31.14
691,601318.SH,2019-04-19,87.0
692,600036.SH,2019-04-18,35.5
693,600609.SH,2019-04-18,5.13
694,600887.SH,2019-04-18,30.84
695,601318.SH,2019-04-18,84.3
696,600036.SH,2019-04-17,35.83
697,600609.SH,2019-04-17,5.32
698,600887.SH,2019-04-17,30.78
699,601318.SH,2019-04-17,84.48
700,600036.SH,2019-04-16,36.0
701,600609.SH,2019-04-16,5.11
702,600887.SH,2019-04-16,30.87
703,601318.SH,2019-04-16,85.01
704,600036.SH,2019-04-15,34.82
705,600609.SH,2019-04-15,5.19
706,600887.SH,2019-04-15,30.0
707,601318.SH,2019-04-15,81.66
708,600036.SH,2019-04-12,34.8
709,600609.SH,2019-04-12,5.09
710,600887.SH,2019-04-12,30.0
711,601318.SH,2019-04-12,80.44
712,600036.SH,2019-04-11,34.96
713,600609.SH,2019-04-11,4.95
714,600887.SH,2019-04-11,30.32
715,601318.SH,2019-04-11,80.71
716,600036.SH,2019-04-10,35.07
717,600609.SH,2019-04-10,5.25
718,600887.SH,2019-04-10,31.49
719,601318.SH,2019-04-10,82.03
720,600036.SH,2019-04-09,35.23
721,600609.SH,2019-04-09,4.94
722,600887.SH,2019-04-09,31.0
723,601318.SH,2019-04-09,81.1
724,600036.SH,2019-04-08,35.93
725,600609.SH,2019-04-08,4.49
726,600887.SH,2019-04-08,28.62
